SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-1-2022,Single Family Residential,3187 David Ave,Palo Alto,CA,94303,5350000,5,3.0,PALO ALTO,2946,8473,2012,,1816,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3187-David-Ave-94303/home/1274019,MLSListings,ML81876767,N,Y,37.4325287,-122.1186026
PAST SALE,July-5-2022,Single Family Residential,4248 Noble St,Palo Alto,CA,94306,3250000,4,3.5,PALO ALTO,2368,3842,2009,,1372,196,Sold,,,https://www.redfin.com/CA/Palo-Alto/4248-Noble-St-94306/home/21652271,MLSListings,ML81893530,N,Y,37.4090484,-122.1205105
PAST SALE,January-4-2023,Single Family Residential,1156 Laureles Dr,Los Altos,CA,94022,3350000,3,2.5,LOS ALTOS,1779,13414,1955,,1883,,Sold,,,https://www.redfin.com/CA/Los-Altos/1156-Laureles-Dr-94022/home/630758,MLSListings,ML81911968,N,Y,37.4041138,-122.1221965
PAST SALE,September-21-2022,Single Family Residential,741 Ellsworth Pl,Palo Alto,CA,94306,1915000,2,1.0,PALO ALTO,880,4657,1949,,2176,,Sold,,,https://www.redfin.com/CA/Palo-Alto/741-Ellsworth-Pl-94306/home/563021,MLSListings,ML81897613,N,Y,37.4326962,-122.1253466
PAST SALE,May-27-2022,Single Family Residential,872 Boyce Ave,Palo Alto,CA,94301,3900000,4,3.0,PALO ALTO,2410,6380,1925,,1618,,Sold,,,https://www.redfin.com/CA/Palo-Alto/872-Boyce-Ave-94301/home/95954635,MLSListings,ML81884718,N,Y,37.450719,-122.1500562
PAST SALE,August-25-2022,Single Family Residential,390 Palo Alto Ave,Palo Alto,CA,94301,4300000,4,3.0,PALO ALTO,2418,7188,1938,,1778,,Sold,,,https://www.redfin.com/CA/Palo-Alto/390-Palo-Alto-Ave-94301/home/1391000,MLSListings,ML81897983,N,Y,37.4502137,-122.1665003
PAST SALE,July-15-2022,Single Family Residential,1231-1233 Wilson St,Palo Alto,CA,94301,3790000,4,2.0,PALO ALTO,2587,7483,1922,,1465,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1231-Wilson-St-94301/home/179401508,MLSListings,ML81889881,N,Y,37.4452129,-122.1432956
PAST SALE,November-15-2022,Single Family Residential,1289 Woodland Ave,Menlo Park,CA,94025,3900000,4,3.0,MENLO PARK,2520,12545,1956,,1548,,Sold,,,https://www.redfin.com/CA/Menlo-Park/1289-Woodland-Ave-94025/home/1269037,MLSListings,ML81909234,N,Y,37.4579499,-122.1499897
PAST SALE,November-30-2022,Single Family Residential,951 Blair Ct,Palo Alto,CA,94303,3460000,5,4.5,PALO ALTO,2594,8454,1955,,1334,,Sold,,,https://www.redfin.com/CA/Palo-Alto/951-Blair-Ct-94303/home/807800,MLSListings,ML81898999,N,Y,37.443723,-122.1277868
PAST SALE,,Single Family Residential,949 Scott St,Palo Alto,CA,94301,2000000,2,1.0,,840,1500,1920,,2381,,,,,https://www.redfin.com/CA/Palo-Alto/949-Scott-St-94301/home/1506929,,,N,Y,37.442894,-122.1549797
PAST SALE,September-30-2022,Single Family Residential,393 Whitclem Dr,Palo Alto,CA,94306,3050000,4,2.5,PALO ALTO,1871,7671,1951,,1630,,Sold,,,https://www.redfin.com/CA/Palo-Alto/393-Whitclem-Dr-94306/home/12171574,MLSListings,ML81902795,N,Y,37.4101724,-122.1187801
PAST SALE,August-8-2022,Single Family Residential,491 Torwood Ln,Los Altos,CA,94022,4448000,5,3.0,LOS ALTOS,2865,11500,1971,,1553,,Sold,,,https://www.redfin.com/CA/Los-Altos/491-Torwood-Ln-94022/home/826781,MLSListings,ML81893540,N,Y,37.3899771,-122.1257903
PAST SALE,December-30-2022,Single Family Residential,3935 Duncan Pl,Palo Alto,CA,94306,2400000,3,2.0,PALO ALTO,1265,7640,1953,,1897,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3935-Duncan-Pl-94306/home/1258277,MLSListings,ML81912619,N,Y,37.4162222,-122.1134112
PAST SALE,,Single Family Residential,1891 Channing Ave,Palo Alto,CA,94303,3370000,3,2.0,,1424,6297,1955,,2367,,,,,https://www.redfin.com/CA/Palo-Alto/1891-Channing-Ave-94303/home/892027,,,N,Y,37.4489916,-122.1301825
PAST SALE,January-14-2022,Single Family Residential,874 Boyce Ave #1,Palo Alto,CA,94301,4060000,3,2.5,PALO ALTO,1895,6054,1925,,2142,,Sold,,,https://www.redfin.com/CA/Palo-Alto/874-Boyce-Ave-94301/unit-1/home/544375,MLSListings,ML81870208,N,Y,37.450884,-122.1504998
PAST SALE,October-20-2022,Single Family Residential,1652 Mariposa Ave,Palo Alto,CA,94306,3300000,3,2.5,PALO ALTO,2058,6010,1951,,1603,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1652-Mariposa-Ave-94306/home/779570,MLSListings,ML81904528,N,Y,37.4328609,-122.148903
PAST SALE,April-12-2022,Single Family Residential,571 Colorado Ave,Palo Alto,CA,94306,4750000,4,3.0,PALO ALTO,2604,6181,2022,,1824,,Sold,,,https://www.redfin.com/CA/Palo-Alto/571-Colorado-Ave-94306/home/1510483,MLSListings,ML81877022,N,Y,37.4320002,-122.1309811
PAST SALE,August-2-2022,Single Family Residential,744 Guinda St,Palo Alto,CA,94301,5175000,4,3.0,PALO ALTO,3372,5098,1926,,1535,,Sold,,,https://www.redfin.com/CA/Palo-Alto/744-Guinda-St-94301/home/1343651,MLSListings,ML81892054,N,Y,37.4496925,-122.1524515
PAST SALE,October-28-2022,Single Family Residential,1505 Emerson St,Palo Alto,CA,94301,3688500,4,2.0,Palo Alto,2305,8000,1922,,1600,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1505-Emerson-St-94301/home/1526634,San Francisco MLS,422677792,N,Y,37.4369592,-122.1499675
PAST SALE,September-30-2022,Single Family Residential,2091 Webster St,Palo Alto,CA,94301,5300000,3,3.5,PALO ALTO,2492,7370,2008,,2127,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2091-Webster-St-94301/home/1600697,MLSListings,ML81900168,N,Y,37.4373758,-122.1382788
PAST SALE,June-8-2022,Single Family Residential,27 Crescent Dr,Palo Alto,CA,94301,6902000,4,4.0,PALO ALTO,4540,44218,1935,,1520,,Sold,,,https://www.redfin.com/CA/Palo-Alto/27-Crescent-Dr-94301/home/966412,MLSListings,ML81883050,N,Y,37.4569584,-122.1456648
PAST SALE,March-29-2022,Single Family Residential,1260 University Ave,Palo Alto,CA,94301,3350000,3,2.0,PALO ALTO,1665,6630,1952,,2012,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1260-University-Ave-94301/home/1573688,MLSListings,ML81874557,N,Y,37.4554239,-122.1501671
PAST SALE,August-29-2022,Single Family Residential,2129 Edgewood Dr,Palo Alto,CA,94303,2828000,4,2.0,PALO ALTO,1883,7992,1956,,1502,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2129-Edgewood-Dr-94303/home/544275,MLSListings,ML81896452,N,Y,37.4494503,-122.125147
