SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-13-2022,Single Family Residential,205 Bay View Dr,San Carlos,CA,94070,3600000,4,3.5,SAN CARLOS,2269,9100,1958,,1587,,Sold,,,https://www.redfin.com/CA/San-Carlos/205-Bay-Vw-Dr-94070/home/790609,MLSListings,ML81881816,N,Y,37.5002618,-122.2830888
PAST SALE,August-17-2022,Single Family Residential,2540 Howard,San Carlos,CA,94070,1750000,2,1.0,SAN CARLOS,1020,6815,1942,,1716,,Sold,,,https://www.redfin.com/CA/San-Carlos/2540-Howard-Ave-94070/home/1487646,MLSListings,ML81902944,N,Y,37.488769,-122.2649678
PAST SALE,April-14-2022,Single Family Residential,233 Molton Ave,San Carlos,CA,94070,3760000,4,3.5,SAN CARLOS,2142,5221,1942,,1755,,Sold,,,https://www.redfin.com/CA/San-Carlos/233-Molton-Ave-94070/home/1080543,MLSListings,ML81880066,Y,Y,37.5013962,-122.27888
PAST SALE,May-12-2022,Single Family Residential,919 Lupin Way,San Carlos,CA,94070,3350000,3,2.0,SAN CARLOS,2063,5500,1948,,1624,,Sold,,,https://www.redfin.com/CA/San-Carlos/919-Lupin-Way-94070/Lowr/home/1752805,MLSListings,ML81885539,N,Y,37.4945072,-122.2654109
PAST SALE,September-26-2022,Single Family Residential,369 Cedar St,San Carlos,CA,94070,1960000,2,1.0,SAN CARLOS,1170,8310,1936,,1675,,Sold,,,https://www.redfin.com/CA/San-Carlos/369-Cedar-St-94070/home/1752757,MLSListings,ML81906933,N,Y,37.5059134,-122.2676263
PAST SALE,May-20-2022,Single Family Residential,133 Plymouth Ave,San Carlos,CA,94070,3907000,4,3.0,SAN CARLOS,2501,5600,1940,,1562,,Sold,,,https://www.redfin.com/CA/San-Carlos/133-Plymouth-Ave-94070/home/1952283,MLSListings,ML81887199,N,Y,37.5002711,-122.2790129
PAST SALE,February-17-2022,Single Family Residential,367 Oakview Dr,San Carlos,CA,94070,2469000,3,2.0,SAN CARLOS,1660,5500,1950,,1487,,Sold,,,https://www.redfin.com/CA/San-Carlos/367-Oakview-Dr-94070/home/1677262,MLSListings,ML81875427,Y,Y,37.4890275,-122.25872
PAST SALE,May-6-2022,Single Family Residential,17 Cranfield Ave,San Carlos,CA,94070,4500000,5,4.0,SAN CARLOS,3390,6516,2016,,1327,,Sold,,,https://www.redfin.com/CA/San-Carlos/17-Cranfield-Ave-94070/home/108551313,MLSListings,ML81882146,N,Y,37.5047329,-122.286943
PAST SALE,December-9-2022,Single Family Residential,952 Holly St,San Carlos,CA,94070,1100000,2,1.0,SAN CARLOS,910,5900,1939,,1209,,Sold,,,https://www.redfin.com/CA/San-Carlos/952-Holly-St-94070/home/2001953,MLSListings,ML81911982,N,Y,37.5111884,-122.2592144
PAST SALE,,Single Family Residential,100 Dundee Ln,San Carlos,CA,94070,4000000,4,3.0,,2520,7996,1991,,1587,,,,,https://www.redfin.com/CA/San-Carlos/100-Dundee-Ln-94070/home/1677289,,,N,Y,37.4964776,-122.2744053
