SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-21-2022,Single Family Residential,1596 Nuthatch Ln,Sunnyvale,CA,94087,2500000,3,2.0,SUNNYVALE,1742,6750,1960,,1435,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1596-Nuthatch-Ln-94087/home/755195,MLSListings,ML81877975,N,Y,37.3416473,-122.011241
PAST SALE,February-25-2022,Single Family Residential,1019 Mango Ave,Sunnyvale,CA,94087,2800000,3,2.0,SUNNYVALE,1552,6262,1953,,1804,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1019-Mango-Ave-94087/home/650076,MLSListings,ML81875784,N,Y,37.3623871,-122.0536701
PAST SALE,March-14-2022,Single Family Residential,129 Sunset Ave,Sunnyvale,CA,94086,2137000,3,2.0,SUNNYVALE,1210,6200,1956,,1766,,Sold,,,https://www.redfin.com/CA/Sunnyvale/129-Sunset-Ave-94086/home/1561957,MLSListings,ML81876708,N,Y,37.38064,-122.0418156
PAST SALE,April-26-2022,Single Family Residential,752 Shasta Fir Dr,Sunnyvale,CA,94086,3765000,4,3.0,SUNNYVALE,2166,7563,1970,,1738,,Sold,,,https://www.redfin.com/CA/Sunnyvale/752-Shasta-Fir-Dr-94086/home/1752025,MLSListings,ML81882560,N,Y,37.3650516,-122.0073992
PAST SALE,June-23-2022,Single Family Residential,1005 Lupine Dr,Sunnyvale,CA,94086,3100000,5,2.5,SUNNYVALE,2326,6200,1977,,1333,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1005-Lupine-Dr-94086/home/669255,MLSListings,ML81891085,N,Y,37.3611504,-122.0085096
PAST SALE,June-16-2022,Single Family Residential,918 Amador Ave,Sunnyvale,CA,94085,1760000,4,2.5,SUNNYVALE,1676,5482,1957,,1050,,Sold,,,https://www.redfin.com/CA/Sunnyvale/918-Amador-Ave-94085/home/1559271,MLSListings,ML81889213,N,Y,37.3910674,-122.0040236
PAST SALE,December-5-2022,Single Family Residential,379 E Arbor Ave,Sunnyvale,CA,94085,1351000,2,1.0,SUNNYVALE,1203,5608,1949,,1123,,Sold,,,https://www.redfin.com/CA/Sunnyvale/379-E-Arbor-Ave-94085/home/1691986,MLSListings,ML81911719,N,Y,37.3882019,-122.0228546
PAST SALE,September-29-2022,Single Family Residential,553 Fir Ave,Sunnyvale,CA,94085,1850000,3,2.0,SUNNYVALE,1419,4392,1952,,1304,,Sold,,,https://www.redfin.com/CA/Sunnyvale/553-Fir-Ave-94085/home/1392632,MLSListings,ML81905523,N,Y,37.3866067,-122.0181916
PAST SALE,September-23-2022,Single Family Residential,936 Bermuda Ct,Sunnyvale,CA,94086,2400000,3,2.0,SUNNYVALE,1767,8028,1970,,1358,,Sold,,,https://www.redfin.com/CA/Sunnyvale/936-Bermuda-Ct-94086/home/1525901,MLSListings,ML81904152,N,Y,37.3679564,-122.009842
PAST SALE,December-12-2022,Single Family Residential,714 Henrietta Ave,Sunnyvale,CA,94086,2320000,4,3.0,SUNNYVALE,1752,6524,1959,,1324,,Sold,,,https://www.redfin.com/CA/Sunnyvale/714-Henrietta-Ave-94086/home/1737262,MLSListings,ML81912612,N,Y,37.361903,-122.0187835
