SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-2-2021,Single Family Residential,22315 Carta Blanca St,CUPERTINO,CA,95014,2655000,4,2.5,CUPERTINO,2241,16880,1967,149,1185,,Sold,,,http://www.redfin.com/CA/Cupertino/22315-Carta-Blanca-St-95014/home/829443,MLSListings,ML81829483,N,Y,37.3297951,-122.065945
PAST SALE,April-8-2021,Single Family Residential,10067 Byrne Ave,CUPERTINO,CA,95014,3930000,4,4.5,CUPERTINO,3247,17460,2014,143,1210,,Sold,,,http://www.redfin.com/CA/Cupertino/10067-Byrne-Ave-95014/home/1805127,MLSListings,ML81832637,N,Y,37.3218525,-122.0588643
PAST SALE,July-1-2021,Single Family Residential,22016 San Fernando Ct,Cupertino,CA,95014,3000000,5,3.5,Cupertino,3103,7641,2003,59,967,,Sold,,,http://www.redfin.com/CA/Cupertino/22016-San-Fernando-Ct-95014/home/1106344,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40943445,N,Y,37.3166653,-122.0597522
PAST SALE,April-21-2021,Single Family Residential,10400 Imperial Ave,CUPERTINO,CA,95014,3250000,5,3.0,CUPERTINO,2874,8076,1987,130,1131,,Sold,,,http://www.redfin.com/CA/Cupertino/10400-Imperial-Ave-95014/home/1097416,MLSListings,ML81834318,N,Y,37.3170383,-122.0529819
PAST SALE,May-21-2021,Single Family Residential,908 Sage Ct,Cupertino,CA,95014,2400000,4,2.0,Cupertino,1728,7058,1960,100,1389,,Sold,,,http://www.redfin.com/CA/Cupertino/908-Sage-Ct-95014/home/1674528,San Francisco MLS,421534315,N,Y,37.3121705,-122.0421708
PAST SALE,April-26-2021,Single Family Residential,1043 Belvedere Ln,SAN JOSE,CA,95129,2350000,3,2.0,SAN JOSE,1371,6820,1957,125,1714,,Sold,,,http://www.redfin.com/CA/San-Jose/1043-Belvedere-Ln-95129/home/1265678,MLSListings,ML81835126,N,Y,37.3086856,-122.020723
PAST SALE,July-12-2021,Single Family Residential,10409 Johnson Ave,CUPERTINO,CA,95014,1900000,3,1.0,CUPERTINO,1048,5267,1954,48,1813,,Sold,,,http://www.redfin.com/CA/Cupertino/10409-Johnson-Ave-95014/home/1294091,MLSListings,ML81847339,N,Y,37.3170181,-121.9991821
PAST SALE,March-5-2021,Single Family Residential,10410 Wunderlich Dr,CUPERTINO,CA,95014,1850400,3,2.0,CUPERTINO,1034,5032,1952,177,1790,,Sold,,,http://www.redfin.com/CA/Cupertino/10410-Wunderlich-Dr-95014/home/1258852,MLSListings,ML81816133,N,Y,37.3169306,-122.0004702
PAST SALE,May-14-2021,Single Family Residential,18621 Starrett Ct,CUPERTINO,CA,95014,3000000,5,3.5,CUPERTINO,3050,5700,1998,107,984,,Sold,,,http://www.redfin.com/CA/Cupertino/18621-Starrett-Ct-95014/home/1500504,MLSListings,ML81837626,N,Y,37.3163002,-121.9974497
PAST SALE,July-9-2021,Single Family Residential,1644 Grosbeak Ave,SUNNYVALE,CA,94087,2820000,4,3.0,SUNNYVALE,2077,6313,2015,51,1358,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1644-Grosbeak-Ave-94087/home/1725662,MLSListings,ML81847122,N,Y,37.3395426,-122.0189688
PAST SALE,April-21-2021,Single Family Residential,22641 San Juan Rd,CUPERTINO,CA,95014,2890000,3,2.0,CUPERTINO,2135,11499,1968,130,1354,,Sold,,,http://www.redfin.com/CA/Cupertino/22641-San-Juan-Rd-95014/home/779788,MLSListings,ML81831851,N,Y,37.3116612,-122.0708501
PAST SALE,April-26-2021,Single Family Residential,1146 S Stelling Rd,CUPERTINO,CA,95014,2330000,3,2.0,CUPERTINO,1644,6210,1961,125,1417,,Sold,,,http://www.redfin.com/CA/Cupertino/1146-S-Stelling-Rd-95014/home/786458,MLSListings,ML81833473,N,Y,37.3041912,-122.0411052
PAST SALE,April-19-2021,Single Family Residential,11907 Woodhill Ct,CUPERTINO,CA,95014,3250000,5,3.0,CUPERTINO,2445,5095,1989,132,1329,260,Sold,,,http://www.redfin.com/CA/Cupertino/11907-Woodhill-Ct-95014/home/1646726,MLSListings,ML81836811,N,Y,37.2948064,-122.0433252
PAST SALE,April-30-2021,Single Family Residential,7535 Normandy Way,CUPERTINO,CA,95014,2210000,3,2.0,CUPERTINO,1551,7485,1963,121,1425,,Sold,,,http://www.redfin.com/CA/Cupertino/7535-Normandy-Way-95014/home/664493,MLSListings,ML81839098,N,Y,37.2986727,-122.037109
PAST SALE,April-29-2021,Single Family Residential,7712 Tomki Ct,CUPERTINO,CA,95014,2720000,4,3.0,CUPERTINO,3046,8528,1997,122,893,,Sold,,,http://www.redfin.com/CA/Cupertino/7712-Tomki-Ct-95014/home/1550310,MLSListings,ML81834438,N,Y,37.3098243,-122.0417934
PAST SALE,,Single Family Residential,7738 Oak Meadow Ct,Cupertino,CA,95014,3250000,4,3.0,,2911,7006,1969,,1116,,,,,http://www.redfin.com/CA/Cupertino/7738-Oak-Meadow-Ct-95014/home/1438956,,,N,Y,37.3000169,-122.0426148
PAST SALE,June-30-2021,Single Family Residential,18833 Tuggle Ave,CUPERTINO,CA,95014,3010101,4,3.0,CUPERTINO,1941,5352,2021,60,1551,,Sold,,,http://www.redfin.com/CA/Cupertino/18833-Tuggle-Ave-95014/home/1439246,MLSListings,ML81836950,N,Y,37.3142319,-122.0014474
PAST SALE,June-10-2021,Single Family Residential,18831 Arata Way,CUPERTINO,CA,95014,3030000,4,3.5,CUPERTINO,2959,5522,2018,80,1024,,Sold,,,http://www.redfin.com/CA/Cupertino/18831-Arata-Way-95014/home/1516605,MLSListings,ML81837884,N,Y,37.320543,-122.0014474
PAST SALE,March-8-2021,Single Family Residential,18820 Arata Way,CUPERTINO,CA,95014,3000000,4,3.0,CUPERTINO,2025,5940,2021,174,1481,,Sold,,,http://www.redfin.com/CA/Cupertino/18820-Arata-Way-95014/home/1500479,MLSListings,ML81820337,N,Y,37.3201993,-122.001092
PAST SALE,April-8-2021,Single Family Residential,18645 Ralya Ct,CUPERTINO,CA,95014,1775000,3,2.0,CUPERTINO,1127,5870,1954,143,1575,,Sold,,,http://www.redfin.com/CA/Cupertino/18645-Ralya-Ct-95014/home/794878,MLSListings,ML81830937,N,Y,37.319832,-121.9980716
PAST SALE,,Single Family Residential,10440 Johnson Ave,Cupertino,CA,95014,2416000,3,2.0,,1648,5700,2001,,1466,,,,,http://www.redfin.com/CA/Cupertino/10440-Johnson-Ave-95014/home/1567698,,,N,Y,37.3164515,-121.9986934
PAST SALE,July-15-2021,Single Family Residential,7492 Fallenleaf Ln,CUPERTINO,CA,95014,3200000,4,2.5,CUPERTINO,2102,9265,1958,45,1522,,Sold,,,http://www.redfin.com/CA/Cupertino/7492-Fallenleaf-Ln-95014/home/676317,MLSListings,ML81847283,N,Y,37.308282,-122.0361987
