SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,2023 Arroyo Ave,San Carlos,CA,94070,1800000,2,1.0,,1030,5000,1946,,1748,,,,,https://www.redfin.com/CA/San-Carlos/2023-Arroyo-Ave-94070/home/1534090,,,N,Y,37.4955463,-122.2631068
PAST SALE,November-29-2021,Single Family Residential,1800 Howard Ave,SAN CARLOS,CA,94070,2827000,3,2.0,SAN CARLOS,2010,5320,1940,45,1406,,Sold,,,https://www.redfin.com/CA/San-Carlos/1800-Howard-Ave-94070/home/803931,MLSListings,ML81865419,N,Y,37.4955555,-122.2563271
PAST SALE,,Single Family Residential,1732 Greenwood Ave,San Carlos,CA,94070,2068000,3,2.0,,1650,5520,1939,,1253,,,,,https://www.redfin.com/CA/San-Carlos/1732-Greenwood-Ave-94070/home/2011596,,,N,Y,37.4965292,-122.2568146
PAST SALE,January-11-2022,Single Family Residential,558 Marlin Ct,Redwood Shores,CA,94065,3579588,4,2.5,Redwood Shores,2290,14700,1975,2,1563,,Sold,,,https://www.redfin.com/CA/Redwood-City/558-Marlin-Ct-94065/home/1932883,MLSListings,ML81870387,N,Y,37.5315928,-122.251231
PAST SALE,January-12-2022,Single Family Residential,2120 Gossamer Ave,Redwood Shores,CA,94065,2888000,4,2.5,Redwood Shores,2280,4432,1999,1,1267,192,Sold,,,https://www.redfin.com/CA/Redwood-City/2120-Gossamer-Ave-94065/home/1278510,MLSListings,ML81872786,N,Y,37.545898,-122.2402403
PAST SALE,November-30-2021,Single Family Residential,985 Mccue Ave,SAN CARLOS,CA,94070,2301000,3,2.0,SAN CARLOS,1718,5250,1946,44,1339,,Sold,,,https://www.redfin.com/CA/San-Carlos/985-McCue-Ave-94070/home/1230672,MLSListings,ML81867907,N,Y,37.5094601,-122.2578337
PAST SALE,October-27-2021,Single Family Residential,3749 Hoover St,REDWOOD CITY,CA,94063,1380000,3,2.5,REDWOOD CITY,1208,6000,1948,78,1142,,Sold,,,https://www.redfin.com/CA/Redwood-City/3749-Hoover-St-94063/home/1306775,MLSListings,ML81858818,N,Y,37.4837013,-122.1847377
PAST SALE,October-27-2021,Single Family Residential,953 Sunset Dr,SAN CARLOS,CA,94070,2350000,4,3.0,SAN CARLOS,2300,5650,1959,78,1022,,Sold,,,https://www.redfin.com/CA/San-Carlos/953-Sunset-Dr-94070/home/1406196,MLSListings,ML81861507,N,Y,37.4906862,-122.2693543
PAST SALE,October-28-2021,Single Family Residential,780 W California Way,WOODSIDE,CA,94062,4200000,4,3.0,WOODSIDE,2742,29896,1953,77,1532,,Sold,,,https://www.redfin.com/CA/Woodside/780-W-California-Way-94062/home/1333972,MLSListings,ML81866945,N,Y,37.4553051,-122.2718798
PAST SALE,November-16-2021,Single Family Residential,998 Emerald Hill Rd,REDWOOD CITY,CA,94061,2019998,3,2.0,REDWOOD CITY,1300,7448,1957,58,1554,,Sold,,,https://www.redfin.com/CA/Redwood-City/998-Emerald-Hill-Rd-94061/home/1462595,MLSListings,ML81866775,N,Y,37.4551813,-122.2530036
PAST SALE,November-19-2021,Single Family Residential,410 Wembley Ct,REDWOOD CITY,CA,94061,2465000,4,2.5,REDWOOD CITY,2410,4809,1992,55,1023,200,Sold,,,https://www.redfin.com/CA/Redwood-City/410-Wembley-Ct-94061/home/844761,MLSListings,ML81866293,N,Y,37.4617581,-122.2219347
PAST SALE,November-17-2021,Single Family Residential,1740 Kentucky St,REDWOOD CITY,CA,94061,1865000,2,1.5,REDWOOD CITY,1090,5824,1950,57,1711,,Sold,,,https://www.redfin.com/CA/Redwood-City/1740-Kentucky-St-94061/home/1968116,MLSListings,ML81867681,N,Y,37.4588818,-122.231509
PAST SALE,,Single Family Residential,1533 Virginia Ave,Redwood City,CA,94061,1605000,3,1.0,,1680,6600,1952,,955,,,,,https://www.redfin.com/CA/Redwood-City/1533-Virginia-Ave-94061/home/1112281,,,N,Y,37.4619597,-122.2333262
PAST SALE,November-1-2021,Single Family Residential,230 San Carlos Ave,REDWOOD CITY,CA,94061,1750000,3,2.0,REDWOOD CITY,1454,5100,1949,73,1204,,Sold,,,https://www.redfin.com/CA/Redwood-City/230-San-Carlos-Ave-94061/home/1584400,MLSListings,ML81862140,N,Y,37.4558362,-122.2255252
PAST SALE,,Single Family Residential,1244 Westwood St,Redwood City,CA,94061,2775000,3,2.0,,1180,6050,1951,,2352,,,,,https://www.redfin.com/CA/Redwood-City/1244-Westwood-St-94061/home/1342003,,,N,Y,37.4598212,-122.2444063
PAST SALE,December-29-2021,Single Family Residential,9 Miller Ct,REDWOOD CITY,CA,94061,3780000,4,4.5,REDWOOD CITY,3210,7539,2021,15,1178,,Sold,,,https://www.redfin.com/CA/Redwood-City/9-Miller-Ct-94061/home/885058,MLSListings,ML81864161,N,Y,37.4512772,-122.220206
PAST SALE,January-6-2022,Single Family Residential,1638 Alameda De Las Pulgas,REDWOOD CITY,CA,94061,2200000,3,2.0,REDWOOD CITY,1481,6240,1952,7,1485,,Sold,,,https://www.redfin.com/CA/Redwood-City/1638-Alameda-de-las-Pulgas-94061/home/2011982,MLSListings,ML81871560,N,Y,37.4552447,-122.2393982
PAST SALE,January-12-2022,Single Family Residential,1589 Alameda de Las Pulgas None,Redwood City,CA,94061,1625000,3,1.0,Woodside Plaza,1390,6696,1952,1,1169,,Sold,,,https://www.redfin.com/CA/Redwood-City/1589-Alameda-de-las-Pulgas-94061/home/1425541,MetroList,421599598,N,Y,37.4566893,-122.240063
PAST SALE,,Single Family Residential,3552 Altamont Way,Redwood City,CA,94062,2850000,2,1.0,,1100,7800,1947,,2591,,,,,https://www.redfin.com/CA/Redwood-City/3552-Altamont-Way-94062/home/1124226,,,N,Y,37.4662691,-122.2504555
PAST SALE,December-3-2021,Single Family Residential,10 Canepa Ct,REDWOOD CITY,CA,94062,3138000,4,4.0,REDWOOD CITY,2934,19886,1962,41,1070,,Sold,,,https://www.redfin.com/CA/Redwood-City/10-Canepa-Ct-94062/home/2044495,MLSListings,ML81865699,N,Y,37.4732338,-122.2674491
PAST SALE,October-19-2021,Single Family Residential,619 Vista Dr,Redwood City,CA,94062,1950000,3,2.5,Redwood City,2250,12380,2007,86,,,Sold,,,https://www.redfin.com/CA/Emerald-Hills/619-Vista-Dr-94062/home/1162115,MetroList,421581238,N,Y,37.4672259,-122.2613787
PAST SALE,,Single Family Residential,1925 Vera Ave,Redwood City,CA,94061,2000000,3,2.0,,1830,8030,1949,,1093,,,,,https://www.redfin.com/CA/Redwood-City/1925-Vera-Ave-94061/home/1909396,,,N,Y,37.4684249,-122.2424563
PAST SALE,November-29-2021,Single Family Residential,436 Grand St,REDWOOD CITY,CA,94062,2453000,4,3.0,REDWOOD CITY,2450,6500,1931,45,1001,,Sold,,,https://www.redfin.com/CA/Redwood-City/436-Grand-St-94062/home/1947258,MLSListings,ML81867171,N,Y,37.4797516,-122.2377339
PAST SALE,October-19-2021,Single Family Residential,2626 Mcgarvey Ave,REDWOOD CITY,CA,94061,1975000,3,2.0,REDWOOD CITY,1240,6200,1953,86,1593,,Sold,,,https://www.redfin.com/CA/Redwood-City/2626-Mcgarvey-Ave-94061/home/1904183,MLSListings,ML81861664,N,Y,37.4643963,-122.2451154
PAST SALE,December-7-2021,Single Family Residential,41 Skyline Dr,WOODSIDE,CA,94062,1700000,3,3.0,WOODSIDE,2570,21750,1947,37,661,,Sold,,,https://www.redfin.com/CA/Woodside/41-Skyline-Dr-94062/home/1269504,MLSListings,ML81860377,N,Y,37.3775571,-122.2613597
PAST SALE,December-21-2021,Single Family Residential,408 Quartz St,REDWOOD CITY,CA,94062,2400000,3,2.0,REDWOOD CITY,1482,6071,1951,23,1619,,Sold,,,https://www.redfin.com/CA/Redwood-City/408-Quartz-St-94062/home/1850503,MLSListings,ML81869350,Y,Y,37.4753823,-122.2436972
PAST SALE,October-18-2021,Single Family Residential,2563 Mcgarvey Ave,REDWOOD CITY,CA,94061,1750000,4,2.0,REDWOOD CITY,1430,6862,1953,87,1224,,Sold,,,https://www.redfin.com/CA/Redwood-City/2563-Mcgarvey-Ave-94061/home/1775607,MLSListings,ML81848503,N,Y,37.4642201,-122.244096
PAST SALE,November-23-2021,Single Family Residential,926 Chesterton Ave,REDWOOD CITY,CA,94061,2075000,3,2.0,REDWOOD CITY,1250,6000,1953,51,1660,,Sold,,,https://www.redfin.com/CA/Redwood-City/926-Chesterton-Ave-94061/home/2056426,MLSListings,ML81867807,Y,Y,37.4633017,-122.2482175
PAST SALE,November-1-2021,Single Family Residential,736 Lakemead Way,REDWOOD CITY,CA,94062,1900000,2,1.0,REDWOOD CITY,910,7752,1949,73,2088,,Sold,,,https://www.redfin.com/CA/Emerald-Hills/736-Lakemead-Way-94062/home/2041306,MLSListings,ML81864085,N,Y,37.4605981,-122.2685125
PAST SALE,November-9-2021,Single Family Residential,610 Acacia Ln,REDWOOD CITY,CA,94062,4310000,4,3.5,REDWOOD CITY,3475,11868,1922,65,1240,,Sold,,,https://www.redfin.com/CA/Emerald-Hills/610-Acacia-Ln-94062/home/12228095,MLSListings,ML81867984,N,Y,37.4654546,-122.2619104
PAST SALE,,Single Family Residential,3468 Oak Knoll Dr,Emerald Hills,CA,94062,850000,3,2.0,,2060,6700,1922,,413,,,,,https://www.redfin.com/CA/Emerald-Hills/3468-Oak-Knoll-Dr-94062/home/1995636,,,N,Y,37.4649079,-122.2623535
PAST SALE,,Single Family Residential,1080 Silver Hill Rd,Redwood City,CA,94061,3050000,4,3.5,,3000,43500,1964,,1017,,,,,https://www.redfin.com/CA/Redwood-City/1080-Silver-Hill-Rd-94061/home/2027521,,,N,Y,37.4514553,-122.2544216
PAST SALE,November-5-2021,Single Family Residential,2468 Massachusetts Ave,REDWOOD CITY,CA,94061,1960000,3,2.0,REDWOOD CITY,1350,7800,1954,69,1452,,Sold,,,https://www.redfin.com/CA/Redwood-City/2468-Massachusetts-Ave-94061/home/1259489,MLSListings,ML81864700,N,Y,37.4568015,-122.2324398
PAST SALE,October-22-2021,Single Family Residential,58 Tum Suden Way,WOODSIDE,CA,94062,3500000,5,3.5,WOODSIDE,3574,46167,1987,83,979,,Sold,,,https://www.redfin.com/CA/Woodside/58-Tum-Suden-Way-94062/home/1277238,MLSListings,ML81862749,Y,Y,37.4551865,-122.2684674
