SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-1-2021,Single Family Residential,904 Lupin Way,SAN CARLOS,CA,94070,1998000,4,3.0,SAN CARLOS,2200,6210,1962,28,908,,Sold,,,http://www.redfin.com/CA/San-Carlos/904-Lupin-Way-94070/Uppr/home/1161374,MLSListings,ML81853817,N,Y,37.494324,-122.26605
PAST SALE,September-14-2021,Single Family Residential,1008 Sylvan Dr,SAN CARLOS,CA,94070,1640000,3,1.0,SAN CARLOS,1100,5000,1948,15,1491,,Sold,,,http://www.redfin.com/CA/San-Carlos/1008-Sylvan-Dr-94070/home/1725511,MLSListings,ML81858058,N,Y,37.5118216,-122.2609721
PAST SALE,September-9-2021,Single Family Residential,311 Dartmouth Ave,SAN CARLOS,CA,94070,2350000,3,2.5,SAN CARLOS,2590,9000,1973,20,907,,Sold,,,http://www.redfin.com/CA/San-Carlos/311-Dartmouth-Ave-94070/home/2051355,MLSListings,ML81855237,N,Y,37.5082412,-122.2793674
PAST SALE,September-27-2021,Single Family Residential,940 Crestview Dr,SAN CARLOS,CA,94070,3500000,6,3.5,SAN CARLOS,3160,9125,1965,2,1108,,Sold,,,http://www.redfin.com/CA/San-Carlos/940-Crestview-Dr-94070/home/1541180,MLSListings,ML81864355,N,Y,37.4851064,-122.2860771
PAST SALE,September-14-2021,Single Family Residential,124 Devonshire Blvd,SAN CARLOS,CA,94070,3600000,5,4.0,SAN CARLOS,3390,8840,1948,15,1062,,Sold,,,http://www.redfin.com/CA/San-Carlos/124-Devonshire-Blvd-94070/home/1734875,MLSListings,ML81854850,N,Y,37.5002343,-122.2784591
PAST SALE,September-17-2021,Single Family Residential,2710 Brittan Ave,SAN CARLOS,CA,94070,2100000,3,2.0,SAN CARLOS,1350,8800,1959,12,1556,,Sold,,,http://www.redfin.com/CA/San-Carlos/2710-Brittan-Ave-94070/home/1443832,MLSListings,ML81857113,N,Y,37.4887981,-122.2690442
PAST SALE,September-10-2021,Single Family Residential,3410 Brittan Ave,SAN CARLOS,CA,94070,3200000,4,2.5,SAN CARLOS,2380,22464,1977,19,1345,,Sold,,,http://www.redfin.com/CA/San-Carlos/3410-Brittan-Ave-94070/home/1133820,MLSListings,ML81852622,N,Y,37.4846055,-122.2887371
PAST SALE,August-31-2021,Single Family Residential,3266 Brittan Ave,SAN CARLOS,CA,94070,2650000,4,2.5,SAN CARLOS,2490,14040,1968,29,1064,,Sold,,,http://www.redfin.com/CA/San-Carlos/3266-Brittan-Ave-94070/home/1694458,MLSListings,ML81855022,N,Y,37.4831933,-122.2830666
PAST SALE,September-14-2021,Single Family Residential,351 G St,REDWOOD CITY,CA,94063,1400000,2,1.0,REDWOOD CITY,1130,5824,1951,15,1239,,Sold,,,http://www.redfin.com/CA/Redwood-City/351-G-St-94063/home/1915623,MLSListings,ML81857108,N,Y,37.4977523,-122.2412597
PAST SALE,September-24-2021,Single Family Residential,268 Park Ave,SAN CARLOS,CA,94070,3370000,3,2.5,SAN CARLOS,2548,6750,1939,5,1323,,Sold,,,http://www.redfin.com/CA/San-Carlos/268-Park-Ave-94070/home/1574457,MLSListings,ML81857277,N,Y,37.4904696,-122.2557067
PAST SALE,August-31-2021,Single Family Residential,100 Alberta Ave,SAN CARLOS,CA,94070,2390000,3,2.0,SAN CARLOS,1630,5940,1949,29,1466,,Sold,,,http://www.redfin.com/CA/San-Carlos/100-Alberta-Ave-94070/home/1487762,MLSListings,ML81855906,Y,Y,37.4910948,-122.2524275
PAST SALE,September-10-2021,Single Family Residential,293 Club Dr,SAN CARLOS,CA,94070,2850000,4,3.0,SAN CARLOS,2550,65000,1958,19,1118,,Sold,,,http://www.redfin.com/CA/San-Carlos/293-Club-Dr-94070/home/1275751,MLSListings,ML81851859,N,Y,37.4984394,-122.2905312
PAST SALE,September-21-2021,Single Family Residential,933 Walnut St,SAN CARLOS,CA,94070,3350000,4,3.5,SAN CARLOS,2905,6000,1936,8,1153,,Sold,,,http://www.redfin.com/CA/San-Carlos/933-Walnut-St-94070/home/1036381,MLSListings,ML81859606,N,Y,37.50152,-122.2561499
PAST SALE,September-17-2021,Single Family Residential,166 Barford Ave,SAN CARLOS,CA,94070,2100000,3,2.0,SAN CARLOS,1360,5400,1956,12,1544,,Sold,,,http://www.redfin.com/CA/San-Carlos/166-Barford-Ave-94070/home/1340923,MLSListings,ML81857844,N,Y,37.5102827,-122.278437
PAST SALE,September-24-2021,Single Family Residential,1664 Sixth Ave,BELMONT,CA,94002,2100000,3,3.0,BELMONT,1950,6417,1960,5,1077,,Sold,,,http://www.redfin.com/CA/Belmont/1664-6th-Ave-94002/home/1870482,MLSListings,ML81856138,N,Y,37.5129992,-122.2695316
PAST SALE,September-3-2021,Single Family Residential,90 Chestnut St,SAN CARLOS,CA,94070,2380000,3,2.0,SAN CARLOS,1570,6350,1955,26,1516,,Sold,,,http://www.redfin.com/CA/San-Carlos/90-Chestnut-St-94070/home/1941937,MLSListings,ML81851884,N,Y,37.5102676,-122.269598
PAST SALE,September-7-2021,Single Family Residential,159 Rogers Ave,SAN CARLOS,CA,94070,2301000,3,2.0,SAN CARLOS,1710,7000,1963,22,1346,,Sold,,,http://www.redfin.com/CA/San-Carlos/159-Rogers-Ave-94070/home/1909071,MLSListings,ML81856825,N,Y,37.4911259,-122.2665629
PAST SALE,September-13-2021,Single Family Residential,10 Burnham Ct,SAN CARLOS,CA,94070,1900000,3,2.0,SAN CARLOS,1950,6800,1956,16,974,,Sold,,,http://www.redfin.com/CA/San-Carlos/10-Burnham-Ct-94070/home/1161510,MLSListings,ML81856272,Y,Y,37.4889976,-122.2653223
PAST SALE,August-31-2021,Single Family Residential,2123 Belle Ave,SAN CARLOS,CA,94070,2500000,3,3.0,SAN CARLOS,2160,5720,1948,29,1157,,Sold,,,http://www.redfin.com/CA/San-Carlos/2123-Belle-Ave-94070/home/789555,MLSListings,ML81856036,N,Y,37.4946506,-122.2656767
PAST SALE,September-1-2021,Single Family Residential,789 Orange,SAN CARLOS,CA,94070,1685000,2,1.0,SAN CARLOS,960,5424,1950,28,1755,,Sold,,,http://www.redfin.com/CA/San-Carlos/789-Orange-Ave-94070/home/792701,MLSListings,ML81852812,N,Y,37.4996705,-122.262708
PAST SALE,September-2-2021,Single Family Residential,2077 Brittan Ave,San Carlos,CA,94070,1675000,2,2.5,San Carlos,1170,5460,1951,27,1432,,Sold,,,http://www.redfin.com/CA/San-Carlos/2077-Brittan-Ave-94070/home/798006,San Francisco MLS,421584784,N,Y,37.4933101,-122.2622206
PAST SALE,September-16-2021,Single Family Residential,2647 San Carlos Ave,SAN CARLOS,CA,94070,1901000,3,3.0,SAN CARLOS,2140,7000,1947,13,888,,Sold,,,http://www.redfin.com/CA/San-Carlos/2647-San-Carlos-Ave-94070/home/1314879,MLSListings,ML81852711,N,Y,37.5070643,-122.2827344
