SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-1-2021,Single Family Residential,904 Lupin Way,SAN CARLOS,CA,94070,1998000,4,3.0,SAN CARLOS,2200,6210,1962,28,908,,Sold,,,http://www.redfin.com/CA/San-Carlos/904-Lupin-Way-94070/Uppr/home/1161374,MLSListings,ML81853817,N,Y,37.494324,-122.26605
PAST SALE,September-14-2021,Single Family Residential,1008 Sylvan Dr,SAN CARLOS,CA,94070,1640000,3,1.0,SAN CARLOS,1100,5000,1948,15,1491,,Sold,,,http://www.redfin.com/CA/San-Carlos/1008-Sylvan-Dr-94070/home/1725511,MLSListings,ML81858058,N,Y,37.5118216,-122.2609721
PAST SALE,September-9-2021,Single Family Residential,311 Dartmouth Ave,SAN CARLOS,CA,94070,2350000,3,2.5,SAN CARLOS,2590,9000,1973,20,907,,Sold,,,http://www.redfin.com/CA/San-Carlos/311-Dartmouth-Ave-94070/home/2051355,MLSListings,ML81855237,N,Y,37.5082412,-122.2793674
PAST SALE,July-14-2021,Single Family Residential,1360 Oakhurst Ave,SAN CARLOS,CA,94070,2200000,2,2.0,SAN CARLOS,1514,6500,1948,77,1453,,Sold,,,http://www.redfin.com/CA/San-Carlos/1360-Oakhurst-Ave-94070/home/1801934,MLSListings,ML81849355,Y,Y,37.4923196,-122.2571247
PAST SALE,August-31-2021,Single Family Residential,3266 Brittan Ave,SAN CARLOS,CA,94070,2650000,4,2.5,SAN CARLOS,2490,14040,1968,29,1064,,Sold,,,http://www.redfin.com/CA/San-Carlos/3266-Brittan-Ave-94070/home/1694458,MLSListings,ML81855022,N,Y,37.4831933,-122.2830666
PAST SALE,September-14-2021,Single Family Residential,351 G St,REDWOOD CITY,CA,94063,1400000,2,1.0,REDWOOD CITY,1130,5824,1951,15,1239,,Sold,,,http://www.redfin.com/CA/Redwood-City/351-G-St-94063/home/1915623,MLSListings,ML81857108,N,Y,37.4977523,-122.2412597
PAST SALE,August-26-2021,Single Family Residential,404 Palomar Dr,REDWOOD CITY,CA,94062,2100000,2,2.0,REDWOOD CITY,1330,8869,1953,34,1579,,Sold,,,http://www.redfin.com/CA/Redwood-City/404-Palomar-Dr-94062/home/796714,MLSListings,ML81852817,N,Y,37.4797763,-122.2650121
PAST SALE,July-8-2021,Single Family Residential,225 Lynton Ave,SAN CARLOS,CA,94070,1775000,3,2.5,SAN CARLOS,2120,7205,1968,83,837,,Sold,,,http://www.redfin.com/CA/San-Carlos/225-Lynton-Ave-94070/home/1424014,MLSListings,ML81845318,Y,Y,37.4968984,-122.2882277
PAST SALE,August-3-2021,Single Family Residential,240 Chesham Ave,SAN CARLOS,CA,94070,2422000,3,4.0,SAN CARLOS,2360,10800,1933,57,1026,,Sold,,,http://www.redfin.com/CA/San-Carlos/240-Chesham-Ave-94070/home/1958539,MLSListings,ML81850400,N,Y,37.4964702,-122.2810509
PAST SALE,,Single Family Residential,2086 Eaton Ave,San Carlos,CA,94070,3875000,3,2.0,,2050,6869,1941,,1890,,,,,http://www.redfin.com/CA/San-Carlos/2086-Eaton-Ave-94070/home/2016971,,,N,Y,37.4861024,-122.2542001
PAST SALE,August-17-2021,Single Family Residential,800 Buckland Ave,SAN CARLOS,CA,94070,2530888,3,2.0,SAN CARLOS,1650,7200,1955,43,1534,,Sold,,,http://www.redfin.com/CA/San-Carlos/800-Buckland-Ave-94070/home/1540853,MLSListings,ML81850046,N,Y,37.5123331,-122.2787028
PAST SALE,August-27-2021,Single Family Residential,184 Lyndhurst Ave,SAN CARLOS,CA,94070,2315000,3,2.0,SAN CARLOS,1660,7650,1956,33,1395,,Sold,,,http://www.redfin.com/CA/San-Carlos/184-Lyndhurst-Ave-94070/home/2024628,MLSListings,ML81855185,N,Y,37.5112239,-122.2781712
PAST SALE,September-17-2021,Single Family Residential,166 Barford Ave,SAN CARLOS,CA,94070,2100000,3,2.0,SAN CARLOS,1360,5400,1956,12,1544,,Sold,,,http://www.redfin.com/CA/San-Carlos/166-Barford-Ave-94070/home/1340923,MLSListings,ML81857844,N,Y,37.5102827,-122.278437
PAST SALE,July-2-2021,Single Family Residential,26 Dover Ct,SAN CARLOS,CA,94070,2000000,3,2.5,SAN CARLOS,1820,9800,1933,89,1099,,Sold,,,http://www.redfin.com/CA/San-Carlos/26-Dover-Ct-94070/home/1741554,MLSListings,ML81846122,N,Y,37.4956812,-122.2827787
PAST SALE,August-25-2021,Single Family Residential,520 Club Dr,SAN CARLOS,CA,94070,3100000,3,3.5,SAN CARLOS,2680,12320,1979,35,1157,,Sold,,,http://www.redfin.com/CA/San-Carlos/520-Club-Dr-94070/home/2044392,MLSListings,ML81849425,N,Y,37.4976197,-122.295116
PAST SALE,July-19-2021,Single Family Residential,830 Buckland Ave,SAN CARLOS,CA,94070,2500000,4,3.0,SAN CARLOS,2550,7200,1955,72,980,,Sold,,,http://www.redfin.com/CA/San-Carlos/830-Buckland-Ave-94070/home/1370075,MLSListings,ML81849593,N,Y,37.5117984,-122.2781269
PAST SALE,August-20-2021,Single Family Residential,875 Buckland Ave,SAN CARLOS,CA,94070,2391400,4,3.0,SAN CARLOS,1890,7200,1955,40,1265,,Sold,,,http://www.redfin.com/CA/San-Carlos/875-Buckland-Ave-94070/home/1059010,MLSListings,ML81852763,N,Y,37.5113748,-122.2770636
PAST SALE,September-24-2021,Single Family Residential,1664 Sixth Ave,BELMONT,CA,94002,2100000,3,3.0,BELMONT,1950,6417,1960,5,1077,,Sold,,,http://www.redfin.com/CA/Belmont/1664-6th-Ave-94002/home/1870482,MLSListings,ML81856138,N,Y,37.5129992,-122.2695316
PAST SALE,September-3-2021,Single Family Residential,90 Chestnut St,SAN CARLOS,CA,94070,2380000,3,2.0,SAN CARLOS,1570,6350,1955,26,1516,,Sold,,,http://www.redfin.com/CA/San-Carlos/90-Chestnut-St-94070/home/1941937,MLSListings,ML81851884,N,Y,37.5102676,-122.269598
PAST SALE,July-9-2021,Single Family Residential,11 Del Rey Ct,SAN CARLOS,CA,94070,2500000,3,2.0,SAN CARLOS,1580,5306,1959,82,1582,,Sold,,,http://www.redfin.com/CA/San-Carlos/11-Del-Rey-Ct-94070/home/2037222,MLSListings,ML81849561,Y,Y,37.505841,-122.2722786
PAST SALE,July-29-2021,Single Family Residential,1723 Fernwood Way,BELMONT,CA,94002,2455000,4,3.0,BELMONT,1703,7600,1955,62,1442,,Sold,,,http://www.redfin.com/CA/Belmont/1723-Fernwood-Way-94002/home/766997,MLSListings,ML81853513,N,Y,37.5104307,-122.2879397
PAST SALE,September-27-2021,Single Family Residential,154 Alberta Ave,SAN CARLOS,CA,94070,2580000,3,2.0,SAN CARLOS,1508,5712,1941,2,1711,,Sold,,,http://www.redfin.com/CA/San-Carlos/154-Alberta-Ave-94070/home/800063,MLSListings,ML81859005,N,Y,37.4899673,-122.2531809
