SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-3-2021,Single Family Residential,2621 Hopkins Ave,REDWOOD CITY,CA,94062,1910000,4,3.0,REDWOOD CITY,1680,7500,1940,26,1137,,Sold,,,http://www.redfin.com/CA/Redwood-City/2621-Hopkins-Ave-94062/home/837159,MLSListings,ML81858538,N,Y,37.4786183,-122.2510094
PAST SALE,September-10-2021,Single Family Residential,431 Laurel Ave,MENLO PARK,CA,94025,3950000,4,3.0,MENLO PARK,2000,7500,1945,19,1975,,Sold,,,http://www.redfin.com/CA/Menlo-Park/431-Laurel-Ave-94025/home/1830947,MLSListings,ML81856425,N,Y,37.4603729,-122.1550574
PAST SALE,September-16-2021,Single Family Residential,1574 Valota Rd,Redwood City,CA,94061,2020000,3,2.5,Woodside Plaza,2130,6374,1978,13,948,,Sold,,,http://www.redfin.com/CA/Redwood-City/1574-Valota-Rd-94061/home/1633522,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40967462,N,Y,37.4635967,-122.2321295
PAST SALE,September-16-2021,Single Family Residential,164 Poplar Ave,Redwood City,CA,94061,1450000,3,2.0,Redwood City,1511,5500,1943,13,960,,Sold,,,http://www.redfin.com/CA/Redwood-City/164-Poplar-Ave-94061/home/2002132,BAREIS,421572732,N,Y,37.4750985,-122.2234862
PAST SALE,September-8-2021,Single Family Residential,275 Belmont Ave,REDWOOD CITY,CA,94061,1410000,2,1.0,REDWOOD CITY,980,3774,1952,21,1439,,Sold,,,http://www.redfin.com/CA/Redwood-City/275-Belmont-Ave-94061/home/1250526,MLSListings,ML81855977,N,Y,37.4545603,-122.2256582
PAST SALE,September-15-2021,Single Family Residential,2911 Crocker Ave,REDWOOD CITY,CA,94063,940000,2,1.0,REDWOOD CITY,800,4913,1940,14,1175,,Sold,,,http://www.redfin.com/CA/Redwood-City/2911-Crocker-Ave-94063/home/816518,MLSListings,ML81849596,N,Y,37.475552,-122.2079708
PAST SALE,September-15-2021,Single Family Residential,10 Meadow Ln,REDWOOD CITY,CA,94063,1360000,3,1.0,REDWOOD CITY,1110,5000,1946,14,1225,,Sold,,,http://www.redfin.com/CA/Redwood-City/10-Meadow-Ln-94063/home/1089849,MLSListings,ML81857379,N,Y,37.4798283,-122.2136009
PAST SALE,September-14-2021,Single Family Residential,2072 Ashton Ave,MENLO PARK,CA,94025,3500000,5,4.5,MENLO PARK,2770,6000,2021,15,1264,,Sold,,,http://www.redfin.com/CA/Menlo-Park/2072-Ashton-Ave-94025/home/894716,MLSListings,ML81849972,N,Y,37.4331612,-122.2031827
PAST SALE,August-31-2021,Single Family Residential,1741 Connecticut Dr,REDWOOD CITY,CA,94061,2975000,4,3.0,REDWOOD CITY,2790,6765,2021,29,1066,,Sold,,,http://www.redfin.com/CA/Redwood-City/1741-Connecticut-Dr-94061/home/1269261,MLSListings,ML81836934,N,Y,37.4579411,-122.2322625
PAST SALE,September-8-2021,Single Family Residential,524 9th Ave,Menlo Park,CA,94025,1850000,3,3.0,Menlo Park,1520,5634,1961,21,1217,,Sold,,,http://www.redfin.com/CA/Menlo-Park/524-9th-Ave-94025/home/1583942,San Francisco MLS,421542519,N,Y,37.4737011,-122.1987934
